date,nbr_reviews,nbr_brew,rev_by_brew
1996,1,1,1.0
1998,134,54,2.4814814814814814
1999,83,31,2.6774193548387095
2000,109,72,1.5138888888888888
2001,1225,333,3.6786786786786787
2002,20346,1107,18.37940379403794
2003,50512,1782,28.34567901234568
2004,62994,2002,31.465534465534464
2005,79332,2293,34.59747056258177
2006,116197,2544,45.6749213836478
2007,128743,2577,49.95847885137757
2008,194845,2860,68.12762237762237
2009,233241,3091,75.45810417340667
2010,270954,3364,80.54518430439953
2011,326496,3770,86.60371352785145
2012,230560,3931,58.651742559145255
2013,192764,4370,44.11075514874142
2014,171942,4979,34.53344044988954
2015,214776,5959,36.04228897466018
2016,193336,6626,29.178388167823726
2017,99008,5498,18.008002910149145
